type-problem,pertanyaan,jawaban
1,Apa pengertian sumber daya alam?,Merupakan segala sesuatu yang diambil/diekstrak dari alam untuk memenuhi kebutuhan makhluk hidup terutama manusia.
2,Sebutkan dua cara pembaharuan sumber daya alam!,Dengan siklus dan reproduksi
3,Bagaimana proses terjadinya minyak bumi?,"Minyak bumi terbentuk dari mayat-mayat binatang atau makhluk hidup yang terkubur selama ribuan bahkan jutaan tahun lamanya sehingaa menjadi lapisan yang kaya akan material organiknya. Lapisan tanah yang mengandung material organik tersebut tertindih dan terkompresi oleh lapisan-lapisan yang terbentuk setelahnya, ditambah lagi suhu panas yang berasal dari dalam bumi. Bersamaan dengan proses tersebut, bakteri pengurai merombak senyawa-senyawa pada material organik tersebut menjadi senyawa-senyawa hidrokarbon."
4,Sebutkan macam-macam sumber daya alam berdasarkan pembentukkannya!,Sumber daya alam yang dapat diperbaharui dan sumber daya alam yang tidak dapat diperbaharui.
5,Apa yang dimaksud dengan pembangunan berwawasan lingkungan?,"Merupakan pembangunan yang mengoptimalkan pemanfaatan Sumber Daya Alam (SDA) dan Sumber Daya Manusia (SDM) secara berkelanjutan, yakni tetap memenuhi kebutuhan masa sekarang tanpa mengorbankan pemenuhan kebutuhan generasi di masa depan."
6,Sebutkan macam-macam sumber daya alam berdasarkan penggunaannya!,Sumber daya alam penghasil bahan baku dan sumber daya alam penghasil energi.
7,Apa pengertian dari sumber daya alam yang dapat diperbaharui?,Merupakan sumber daya alam yang dapat beregenerasi dengan cepat sehingga jumlahnya tidak cepat habis dan dapat dimanfaatkan secara terus menerus.
8,Sebutkan komoditi ekspor Indonesia di luar minyak bumi yang tergolong hasil hutan!,"Kelapa sawit, kakao, karet, kayu, beras, batu bara, energi geothermal, dan biji kopi"
9,Apa pengertian dari disersifikasi pertanian!,Merupakan pemindahan atau pengalokasian sumber daya pertanian ke aktivitas lainnya yang lebih menguntungkan secara ekonomi dan lingkungan.
10,Jelaskan klasifikasi bahan galian berdasarkan UU No.11 Tahun 1967!,"Bahan galian diklasifikasikan menjadi tiga golongan. Yang pertama adalah bahan galian golongan A (golongan strategis), yakni bahan galian yang strategis bagi pertahanan/keamanan negara atau bagi perekonomian negara contohnya adalah minyak bumi, nikel, uranium, dan batu bara. Yang kedua adalah bahan galian golongan B (golongan vital), yakni bahan galian yang dapat menjamin hajat hidup banyak orang contohnya tembaga, bauksit, emas, zirkon, dan platina. Yang terakhir adalah bahan galian golongan C (Golongan industri), contohnya adalah asbes, marmer, granit, dan batu apung."
11,Sebutkan daerah mana saja di Indonesia yang merupakan daerah penghasil LNG!,"Kalimantan Timur, Sumatera Selatan, Papua Barat, Kepulauan Riau, Jawa Barat."
12,Jelaskan perbedaan antara intensifikasi pertanian dan ekstensifikasi pertanian!,Merupakan segala sesuatu yang diambil atau diekstrak dari alam untuk memenuhi kebutuhan makhluk hidup terutama manusia.
13,Pengaruh utama sumber daya alam terhadap kegiatan ekonomi adalah dalam bidang?,"Pendidikan karena menginkatkan perekonomian harus dapat mengoptimalkan penggunaan sumber daya alam, sehingga banyak jurusan pendidikan yang dapat mendorong hal tersebut."
14,Jelaskan kegunaan peta persebaran sumber daya alam!,Peta digunakan untuk menentukan lokasi dan mempertimbangkan probabilitas yang akan terjadi apabila suatu sumber daya alam akan diekstraksi. 
15,Apa pengertian dari lestari?,Tetap seperti keadaan semula.
